obs,sim,name
AR_INA_19_INA_24_Q,6315,Corrientes
AR_INA_2154_INA_24_Q,4834,Rio Bermejo en Pozo Sarmiento
AR_INA_2199_INA_24_Q,5209,Corrientes - Los Laureles
AR_INA_2203_INA_24_Q,4354,Gualeguay - Rosario del Tala
AR_INA_2204_INA_24_Q,5452,Carcarañá - Pueblo Andino
AR_INA_2205_INA_24_Q,3924,Gualeguay - Villaguay
AR_INA_2215_INA_24_Q,2196,Río Areco - San Antonio de Are
AR_INA_23_INA_24_Q,6329,Goya
AR_INA_26_INA_24_Q,6343,Rio Colastine
AR_INA_2822_INA_24_Q,5923,Rio Pilcomayo - El Raul
AR_INA_2832_INA_24_Q,4751,Corriente - Paso Lucero
AR_INA_29_INA_24_Q,6353,Paraná
AR_INA_31_INA_24_Q,6356,Diamante
AR_INA_34_INA_24_Q,6362,Rosario
AR_INA_38_INA_24_Q,3853,San Pedro
AR_INA_45_INA_24_Q,6377,Ibicuy
AR_INA_55_INA_24_Q,6256,Puerto Pilcomayo
AR_INA_57_INA_24_Q,6276,Puerto Formosa
AR_INA_61_INA_24_Q,5920,El Soberbio
AR_INA_65_INA_24_Q,6002,San Javier
AR_INA_6544_INA_24_Q,204,Areco - Carmen de Areco
AR_INA_67_INA_24_Q,6039,Garruchos
AR_INA_68_INA_24_Q,6075,Santo Tomé
AR_INA_72_INA_24_Q,6139,Paso de los libres
AR_INA_72_INA_24_Q,6139,Paso de los Libres
AR_INA_74_INA_24_Q,6169,Monte caseros
AR_INA_78_INA_24_Q,6196,Salto Grande Abajo
AR_INA_8_INA_24_Q,5862,Andresito
AR_INA_81_INA_24_Q,6226,Concepción del Uruguay
AR_INA_87_INA_24_Q,6299,Yacyretá afluente
AR_INA_9_INA_24_Q,5934,Puerto Iguazú
AR_INA_93_INA_24_Q,6241,Confluencia
AR_SAL_A50BD458_INA_24_Q,3574,Miriñay Río
